time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.0800000000000005,-0.0711670118046,0.13889553471,11.4475712594,0.0682649221858,0.0301476665474,0.0,-0.176716628028,0.412696900302,2.56662690109,0.0658997773069,0.121212651812,0.0,422.3146970613313,423.49406608367593,422.35398928622095,422.225468956314
1.1400000000000006,-0.0824363731421,0.165112289772,11.6050001618,0.0720932303769,0.037416685722,0.0,-0.199678433042,0.461576520129,2.68067550684,0.0592493966833,0.121025486677,0.0,448.86740312670867,448.86531192185663,448.1805020420103,447.64258918137506
1.2000000000000006,-0.0953395707186,0.19453245317,11.7718940878,0.0760520586245,0.0448237924183,0.0,-0.231268983946,0.519495031204,2.88188396018,0.0768542044576,0.127905327871,0.0,474.7699428609937,475.3102067792238,475.21593000506255,476.56629679207356
1.2600000000000007,-0.110243135672,0.227402712726,11.949267947,0.0805506897341,0.0528406880146,0.0,-0.266358486311,0.576639325358,3.03009457174,0.0709332598466,0.143099272688,0.0,459.8838306655043,461.10134685811187,461.3714056435016,460.9078684474572
1.3200000000000007,-0.127113017941,0.263320406822,12.129657722,0.084593307204,0.0615122018914,0.0,-0.296671590544,0.620951567826,2.98293720043,0.0591018709849,0.14723153813,0.0,397.86847727029453,398.2687987544125,398.76791485465185,397.68957083199876
1.3800000000000008,-0.146053173694,0.302106412508,12.3089308394,0.0883954160892,0.0701104675265,0.0,-0.335440927528,0.672227504888,2.99270559757,0.0707645424833,0.134002192022,0.0,418.840071183456,417.7083551743496,416.4994611523784,417.5214201957178
1.4400000000000008,-0.167669958853,0.344282617368,12.4915190556,0.0926033321447,0.07847590015,0.0,-0.385939877072,0.734038372617,3.09316784537,0.0688364212861,0.14850371967,0.0,445.93715105365357,447.1379460295187,448.2919973890252,448.1390006600409
1.5000000000000009,-0.192727116379,0.390522935353,12.6830121508,0.0968474913212,0.087173387835,0.0,-0.45028055097,0.807721499529,3.28921569348,0.074285725225,0.13671897214,0.0,478.06240613088266,477.18155992015386,476.74869745047914,477.168330429859
1.560000000000001,-0.221430201745,0.44082443805,12.8815693589,0.101194433436,0.0952109506907,0.0,-0.507236383058,0.869374480494,3.32909036749,0.0684987151982,0.127781043779,0.0,430.7888169234059,430.0494832084801,430.5726755873785,430.0870308165185
1.620000000000001,-0.254125178748,0.495347743238,13.0868471103,0.105314640496,0.10263283741,0.0,-0.583407800345,0.948458514867,3.51275892472,0.0690105641366,0.113946531257,0.0,476.59491664488775,475.5489954942586,475.28888715879816,475.3313425193046
1.680000000000001,-0.29115677857,0.554297990247,13.2992694809,0.109307619007,0.109197381868,0.0,-0.65160206711,1.01689498998,3.56764898253,0.0611103138251,0.0983043253165,0.0,437.9062610533859,436.61373346843766,437.927260882892,437.27294795958994
1.740000000000001,-0.332651230139,0.617671018943,13.5171754196,0.113529341826,0.11499100733,0.0,-0.732121143859,1.09588902558,3.69528708716,0.0843548907495,0.0928252475434,0.0,461.35378759278285,460.92853836124846,460.0155859328887,461.85608934671166
1.8000000000000012,-0.379104504297,0.685879334736,13.74273792,0.119592313974,0.120502022629,0.0,-0.816858542072,1.17824522331,3.82281676981,0.122373923375,0.0898267931441,0.0,462.3586784506612,462.1291133101515,460.7984520641866,463.8020868956629
1.8600000000000012,-0.430899648043,0.759299029461,13.9770430438,0.127011248355,0.12587653312,0.0,-0.91017425247,1.26979751995,3.98651008647,0.126081818197,0.0890674892377,0.0,474.0899609821641,474.03776300666084,474.9715372881679,475.26861085910065
1.9200000000000013,-0.488246213564,0.838204765757,14.2198030238,0.135145673453,0.131285751983,0.0,-1.00188375403,1.36112787979,4.10476956312,0.149837451035,0.0922405643514,0.0,462.70977920125324,462.9659719595053,461.35930014937736,463.2470867859827
1.9800000000000013,-0.551056039346,0.922601394559,14.4684457333,0.144116714087,0.137126227401,0.0,-1.09229829403,1.45289807963,4.18270596887,0.14887013172,0.105965761696,0.0,451.13385970145333,452.2486970933087,451.4655091504704,451.4080751500042
2.0400000000000014,-0.61973700807,1.01301760429,14.7240240096,0.154017645161,0.14312265492,0.0,-1.19766278645,1.56188371763,4.335578234,0.185866887926,0.0838111769208,0.0,476.6152667253833,474.9265607073074,474.69473187693217,477.54843078922045
2.1000000000000014,-0.693356281503,1.10857133024,14.9784020753,0.165151817764,0.14833255936,0.0,-1.2567219827,1.62397204743,4.14415822177,0.184969079399,0.0922723708128,0.0,360.1968698040654,361.05980319871105,360.2254693925228,360.17689298491064
2.1600000000000015,-0.771743809042,1.20925869758,15.2288541916,0.176236099932,0.15388384555,0.0,-1.35668792755,1.73323744354,4.20358120415,0.184272629452,0.093014615033,0.0,447.2706256709987,447.33823587099425,449.46672492835904,449.44294520455446
